,ID,Name,District,Upazila,Eiin,Mobile,Management,Mpo,Post Office,Address,Is Approve,Is Active, 
 ,31,GALLAK NOWAB ALI HIGH SCHOOL,Chandpur,Faridgonj,103608,1724609730,PRIVATE,Yes,GALLAK BAZAR,DOMARIA,,Yes,"View
     
     
         Edit"
 ,32,FEROJPUR  JANA  KOLLYAN  HIGH  SCHOOL,Chandpur,Faridgonj,103609,1715446466,PRIVATE,Yes,GHANGMARA,12 NO CHARDUKIA,,Yes,"View
     
     
         Edit"
 ,33,Rupsha GIRL'S HIGH SCHOOL,Chandpur,Faridgonj,103610,1811270250,PRIVATE,Yes,Rupsha,Rupsha,,Yes,"View
     
     
         Edit"
 ,34,CHANDRA ABDUL HAKIM CHOWDHURY M G HIGH SCHOOL,Chandpur,Faridgonj,103611,1726580488,PRIVATE,Yes,CHANDRA,MADANER GOAN,,Yes,"View
     
     
         Edit"
 ,35,SONALI BALIKHA UCCHA BIDDALAYA,Chandpur,Faridgonj,103612,1818938885,PRIVATE,Yes,SONALI GIRL'S HIGH SCHOOL,SHAHAPUR,,Yes,"View
     
     
         Edit"
 ,36,GAFUR CHOWDHURY HIGH SCHOOL,Chandpur,Faridgonj,103613,1814822809,PRIVATE,Yes,CHOWDHURY BAZAR,LAKSMEPUR,,Yes,"View
     
     
         Edit"
 ,37,HASA GIRL'S HIGH SCHOOL,Chandpur,Faridgonj,103614,1829801834,PRIVATE,Yes,NAYAHAT,HASA,,Yes,"View
     
     
         Edit"
 ,38,LAUTALI SHAH ALAM MODEL JR GIRLS SCHOOL,Chandpur,Faridgonj,103615,1762209086,PRIVATE,Yes,LAUTALI,LAUTALI/UTTALI,,Yes,"View
     
     
         Edit"
 ,39,B R HAJI ABDUL AHAD ADARSHA HIGH SCHOOL,Chandpur,Faridgonj,103616,1309103616,PRIVATE,Yes,RUSTAMPUR,BHATER HAD,,Yes,"View
     
     
         Edit"
 ,40,UVARAMPUR N. ISLAM IDEAL GIRLS HIGH SCHOOL,Chandpur,Faridgonj,103617,1830175901,PRIVATE,Yes,TORA MUNSHIRHAT,230 UBHARAMPUR,,Yes,"View
     
     
         Edit"
 ,41,KHAR KHADIA JR HIGH SCHOOL,Chandpur,Faridgonj,103618,1715056821,PRIVATE,No,CHANDRA,KHAR KHADIA,,Yes,"View
     
     
         Edit"
 ,42,KEROA HOSNEARA BEGUM ADARSHA GIRLS HIGH SCHOOL,Chandpur,Faridgonj,103619,1733259287,PRIVATE,Yes,FARIDGONJ,KEROA,,Yes,"View
     
     
         Edit"
 ,43,MODEL ACADEMY DAICHOR,Chandpur,Faridgonj,103620,1715923528,PRIVATE,Yes,CHANDRA,DAICHOR,,Yes,"View
     
     
         Edit"
 ,44,HAZI MOHAMMAD SELIM HIGH SCHOOL,Chandpur,Faridgonj,134223,1816219419,PRIVATE,Yes,NURNAGAR,ALONIA,,Yes,"View
     
     
         Edit"
 ,45,SHOLLA A ALI SCHOOL & COLLEGE,Chandpur,Faridgonj,134492,1816895620,PRIVATE,No,SHOLLA BAZAR,SHOLLA,,Yes,"View
     
     
         Edit"
 ,46,PURBO BARALI SHAHJAHAN KABIR JUNIOR SCHOOL,Chandpur,Faridgonj,135463,1309135463,PRIVATE,Yes,FARIDGONJ,BARALI,,Yes,"View
     
     
         Edit"
 ,47,CHARBHANGA HIGH SCHOOL,Chandpur,Haimchar,103679,1770665257,PRIVATE,No,GANDAMARA,CHARBANGA,,Yes,"View
     
     
         Edit"
 ,48,BAJAPTI RAMANI MOHAN HIGH SCHOOL,Chandpur,Haimchar,103680,1818874335,PRIVATE,Yes,BAJAPTI,NAYANI LAXIMPUR,,Yes,"View
     
     
         Edit"
 ,49,DURGAPUR HIGH SCHOOL,Chandpur,Haimchar,103681,1859132763,PRIVATE,Yes,ALGI BAZAR,UTTAR ALGI,,Yes,"View
     
     
         Edit"
 ,50,CHAR BHAIRABI HIGH SCHOOL,Chandpur,Haimchar,103682,1816425282,PRIVATE,Yes,CHAR BHAIRABI,CHAR BHAIRABI,,Yes,"View
     
     
         Edit"
 ,51,NIL KAMAL OSMANIA HIGH SCHOOL,Chandpur,Haimchar,103683,1818443953,PRIVATE,Yes,HAIMCHAR,PURBA CHARKRISNAPUR,,Yes,"View
     
     
         Edit"
 ,52,GONDAMARA HIGH SCHOOL,Chandpur,Haimchar,103684,1814344958,PRIVATE,Yes,GANDAMARA,GONDAMARA,,Yes,"View
     
     
         Edit"
 ,53,HAIMCHAR GOVT. BOYS HIGH SCHOOL,Chandpur,Haimchar,103685,1819673412,PUBLIC,No,HAIMCHAR,PASCHIM KRINOPUR,,Yes,"View
     
     
         Edit"
 ,54,HAIMCHAR GOVT.GIRLS HIGH SCHOOL,Chandpur,Haimchar,103686,1718761134,PUBLIC,No,HAIMCHAR,PASCHIM CHAR KRISNAPUR,,Yes,"View
     
     
         Edit"
 ,55,K.V.N. HIGH SCHOOL,Chandpur,Haimchar,103687,1818539393,PRIVATE,Yes,ALGI DURGAPUR,VINGULIA,,Yes,"View
     
     
         Edit"
 ,56,MJS GIRLS HIGH SCHOOL,Chandpur,Haimchar,103688,1812055214,PRIVATE,Yes,CHAR BHAIRABI,CHAR BHAIRABI,,Yes,"View
     
     
         Edit"
 ,57,ESHANBALA M.J.S. HIGH SCHOOL,Chandpur,Haimchar,103689,1822672615,PRIVATE,Yes,HIAMCHAR,ESHANBALA,,Yes,"View
     
     
         Edit"
 ,58,MOZZEAM HOSSAIN  HIGH  GIRLS SCHOOL,Chandpur,Haimchar,131299,1309131299,PRIVATE,Yes,GANDAMARA,GANDAMARA,,Yes,"View
     
     
         Edit"
 ,59,HAIMCHAR ADARSHA JUNIOR SCHOOL,Chandpur,Haimchar,136835,1855236061,PRIVATE,No,HAIMCHAR,UTTAR CHARKORALIA,,Yes,"View
     
     
         Edit"
 ,60,M J S K S N M JUNIOR HIGH SCHOOL,Chandpur,Haimchar,138299,1940227082,PRIVATE,No,HAIMCHAR,SAHEB GANJ,,Yes,"View
     
     
         Edit"
 ,61,ADARSHA SCHOOL MATLAB,Chandpur,Matlab Dakshin,103840,1309103840,PRIVATE,Yes,MATLAB,NABAKALAS,,Yes,"View
     
     
         Edit"
 ,62,DAGARPUR ABDUL GANI HIGH SCHOOL,Chandpur,Matlab Dakshin,103841,1712269122,PRIVATE,Yes,MATLAB,DAGAR PUR PHANNY,,Yes,"View
     
     
         Edit"
 ,63,AL BARAKA MODEL SCHOOL,Chandpur,Matlab Dakshin,103842,1882853555,PRIVATE,No,NARAYANPUR,NARAYAN PUR,,Yes,"View
     
     
         Edit"
 ,64,PAYALI KADIR BOX MEMORIAL HIGH SCHOOL,Chandpur,Matlab Dakshin,103843,1818096090,PRIVATE,Yes,PAYALI BAZAR,PAYALI,,Yes,"View
     
     
         Edit"
 ,65,LUCK SHIBPUR FEROZA BEGUM HIGH SCHOOL,Chandpur,Matlab Dakshin,103844,1925526244,PRIVATE,Yes,TUSHPUR,LUCK,,Yes,"View
     
     
         Edit"
 ,66,MATLAB J.B. GOVT. PILOT HIGH SCHOOL,Chandpur,Matlab Dakshin,103845,1845180775,PUBLIC,Yes,MATLAB GANJ,COLADE,,Yes,"View
     
     
         Edit"
 ,67,MATLABGOJ PILOT GIRLS HIGH SCHOOL,Chandpur,Matlab Dakshin,103846,181437196,PRIVATE,Yes,MATLABGANJ,MATLAB,,Yes,"View
     
     
         Edit"
 ,68,BARDIA KAZI SULTAN AHMED HIGH SCHOOL,Chandpur,Matlab Dakshin,103847,1712705823,PRIVATE,Yes,BARDIA,MOBAROKDI,,Yes,"View
     
     
         Edit"
 ,69,KASHIMPUR PURAN HIGH SCHOOL,Chandpur,Matlab Dakshin,103848,1813120044,PRIVATE,Yes,KASHIMPUR PURAN,KASHIM PUR,,Yes,"View
     
     
         Edit"
 ,70,BOALIA HIGH SNHOOL,Chandpur,Matlab Dakshin,103849,1817122582,PRIVATE,Yes,BOALIA BARI,NOLUA,,Yes,"View
     
     
         Edit"
 ,71,BAHARI HIGH SCHOOL,Chandpur,Matlab Dakshin,103850,1813237196,PRIVATE,Yes,ARANG BAZAR,BAHARI,,Yes,"View
     
     
         Edit"
 ,72,MUNSHIRHAT HIGH SCHOOL,Chandpur,Matlab Dakshin,103851,1821202827,PRIVATE,Yes,MUNSHIR HAT,DIGHALDI,,Yes,"View
     
     
         Edit"
 ,73,BOALIA GIRLS HIGH SCHOOL,Chandpur,Matlab Dakshin,103852,1816345325,PRIVATE,Yes,BAOALIA BARI,NALUA,,Yes,"View
     
     
         Edit"
 ,74,ASWINPUR HIGH SCHOOL,Chandpur,Matlab Dakshin,103853,1309103853,PRIVATE,Yes,ASWINPUR,ASWINPUR HIGH SCHOOL,,Yes,"View
     
     
         Edit"
 ,75,NARYANPUR  POPULAR  HIGH  SCHOOL,Chandpur,Matlab Dakshin,103854,1818723511,PRIVATE,Yes,NARAYANPUR BAZAR,PANCHGHARIA,,Yes,"View
     
     
         Edit"
 ,76,LAMCHARI HIGH SCHOOL,Chandpur,Matlab Dakshin,103855,1818028343,PRIVATE,Yes,KHADERGAON,LAMCHARI,,Yes,"View
     
     
         Edit"
 ,77,KALIKAPUR HIGH SCHOOL,Chandpur,Matlab Dakshin,103856,1817667980,PRIVATE,Yes,KALIKAPUR,KALIKAPUR,,Yes,"View
     
     
         Edit"
 ,78,NARAYANPUR POPULAR JUNIOR GIRLS SCHOOL,Chandpur,Matlab Dakshin,103857,1816641664,PRIVATE,Yes,NARAYANPUR BAZAR,SOUTH ADHARA,,Yes,"View
     
     
         Edit"
 ,79,ACHAL CHILA HIGH SCHOOL,Chandpur,Matlab Dakshin,103859,1711712695,PRIVATE,Yes,ACHALCHILA,ACHALCHILA,,Yes,"View
     
     
         Edit"
 ,80,HAZRAT SHAHJALAL HIGH SCHOOL,Chandpur,Matlab Dakshin,103860,1716818122,PRIVATE,Yes,MASTER BAZAR,PINGRA,,Yes,"View
     
     
         Edit"
 ,81,ADHARA HIGH SCHOOL,Chandpur,Matlab Dakshin,103861,1735111911,PRIVATE,Yes,NAYARGAON,ADHARA,,Yes,"View
     
     
         Edit"
 ,82,NOAGAON HIGH SCHOOL,Chandpur,Matlab Dakshin,103862,1818798963,PRIVATE,Yes,MADDYA NOAGAON,NOAGAON,,Yes,"View
     
     
         Edit"
 ,83,KACHIARA GIRLS HIGH SCHOOL,Chandpur,Matlab Dakshin,103863,1924407250,PRIVATE,Yes,PITAMBORDI BAZAR,KACHIARA,,Yes,"View
     
     
         Edit"
 ,84,DHALAITALI JANATA HIGH SCHOOL,Chandpur,Matlab Dakshin,103864,1824901670,PRIVATE,Yes,MASTER BAZER,DHALAITALI,,Yes,"View
     
     
         Edit"
 ,85,NAYER GAON HIGH SCHOOL,Chandpur,Matlab Dakshin,103865,1748350077,PRIVATE,Yes,NAYERGAON,NAYERGAON,,Yes,"View
     
     
         Edit"
 ,86,DIGHALDI M.A SATTAR HIGH SCHOOL,Chandpur,Matlab Dakshin,103867,1816030301,PRIVATE,Yes,BOALIA BARI,DIGHALDI,,Yes,"View
     
     
         Edit"
 ,87,MEHARAN HIGH SCHOOL,Chandpur,Matlab Dakshin,133899,1812622132,PRIVATE,No,KALIYASH,55,,Yes,"View
     
     
         Edit"
 ,88,ADARSHA SCHOOL DHANARPAR,Chandpur,Matlab Dakshin,134591,1784580187,PRIVATE,No,KHADERGAON,DHANARPAR,,Yes,"View
     
     
         Edit"
 ,89,DINGAVANGA JUNIOR  HIGH SCHOOL,Chandpur,Matlab Dakshin,134757,1739933525,PRIVATE,Yes,BAHARI ARONG BAZAR,DINGAVANGA,,Yes,"View
     
     
         Edit"
 ,90,ALHAJ TAFAZZAL HUSSAIN DHALI JUNIOR SCHOOL,Chandpur,Matlab Dakshin,136779,1954671811,PRIVATE,Yes,KHADERGAON,PUTIA,,Yes,"View
     
     
         Edit"
 ,91,MUZADDEDIA HIGH SCHOOL,Chandpur,Matlab Uttar,103889,1715253486,PRIVATE,Yes,MANDER TOLI,MANDERTOLI,,Yes,"View
     
     
         Edit"
 ,92,MATHA BHANGA ADRASHA HIGH SCHOOL,Chandpur,Matlab Uttar,103890,1817540740,PRIVATE,Yes,Mohonpur,MATHA BHANGA,,Yes,"View
     
     
         Edit"
 ,93,HAZI MOHAMMAD SIDDIQUR RAHMAN HIGH SCHOO,Chandpur,Matlab Uttar,103891,1309103891,PRIVATE,Yes,BELTALI BAZAR,HAPANIA,,Yes,"View
     
     
         Edit"
 ,94,MAMRUZ KANDI SAPTAGRAM HIGH SCHOOL,Chandpur,Matlab Uttar,103892,1816883973,PRIVATE,Yes,SUZATPUR BAZAR,MAMRUZKANDI,,Yes,"View
     
     
         Edit"
 ,95,RUHITER PAR D.M.  HIGH SCHOOL,Chandpur,Matlab Uttar,103893,1926219388,PRIVATE,No,CHANGARCHAR BAZAR,RUHITERPAR,,Yes,"View
     
     
         Edit"
 ,96,JAMILA KHATUN HIGH SCHOOL,Chandpur,Matlab Uttar,103894,1309103894,PRIVATE,No,ENAYETNAGAR,ENAYET NAGAR,,Yes,"View
     
     
         Edit"
 ,97,EKHLAS PUR HIGH SCHOOL,Chandpur,Matlab Uttar,103895,1818645328,PRIVATE,Yes,EKHLASPUR,EKHLAS PUR,,Yes,"View
     
     
         Edit"
 ,98,FATEPUR ABUL HOSSAIN HIGH SCHOOL,Chandpur,Matlab Uttar,103896,1823417588,PRIVATE,No,ENAYET NAGAR,FATEPUR,,Yes,"View
     
     
         Edit"
 ,99,INDURIA HIGH SCHOOL,Chandpur,Matlab Uttar,103898,1309103898,PRIVATE,Yes,INDURIA,INDURIA,,Yes,"View
     
     
         Edit"
 ,100,SUJATPUR NESARIA HIGH SCHOOL,Chandpur,Matlab Uttar,103899,1812402384,PRIVATE,Yes,NANDALALPUR,SUJATPUR,,Yes,"View
     
     
         Edit"
 ,101,PANCHANI HIGH SCHOOL,Chandpur,Matlab Uttar,103900,1818458614,PRIVATE,Yes,PACHANI,PANCH ANI,,Yes,"View
     
     
         Edit"
 ,102,PATHAN BAZAR ABEDIA HIGH SCHOOL,Chandpur,Matlab Uttar,103901,1309103901,PRIVATE,Yes,PATHAN BAZAR,PATHAN BAZAR,,Yes,"View
     
     
         Edit"
 ,103,CHAR KALIA HIGH SCHOOL,Chandpur,Matlab Uttar,103902,1309103902,PRIVATE,Yes,FARAJI KANDI,TOFADAR PARA,,Yes,"View
     
     
         Edit"
 ,104,SENGAR CHAR GOVT. MODEL HIGH SCHOOL,Chandpur,Matlab Uttar,103903,1309103903,PUBLIC,Yes,SENGARCHAR,SENGER CHAR,,Yes,"View
     
     
         Edit"
 ,105,IMAMPUR POLLY MANGAL HIGH SCHOOL,Chandpur,Matlab Uttar,103904,1713619906,PRIVATE,Yes,KALIPUR BAZAR,IMAMPUR,,Yes,"View
     
     
         Edit"
 ,106,DASHANI  Mohonpur  HIGH  SCHOOL,Chandpur,Matlab Uttar,103906,1716896772,PRIVATE,Yes,Mohonpur,07 NO MOHONPUR,,Yes,"View
     
     
         Edit"
 ,107,SHIKARI KANDI AKBARIA HIGH SCHOOL,Chandpur,Matlab Uttar,103907,1813117571,PRIVATE,Yes,LABAIRKANDI,SHIKARIKANDI,,Yes,"View
     
     
         Edit"
 ,108,OTER CHAR HIGH SCHOOL,Chandpur,Matlab Uttar,103908,1817715189,PRIVATE,Yes,GAJRA BAZAR,BAIDANATHPUR,,Yes,"View
     
     
         Edit"
 ,109,NOURI AHMADIA HIGH SCHOOL,Chandpur,Matlab Uttar,103909,1309103909,PRIVATE,Yes,NAORI BAZAR,NOURI,,Yes,"View
     
     
         Edit"
 ,110,BADARPUR AKBAR ALI KHAN HIGH SCHOOL,Chandpur,Matlab Uttar,103910,1309103910,PRIVATE,Yes,BELTALI BAZAR,BADARPUR,,Yes,"View
     
     
         Edit"
 ,111,NANDA LALPUR SAMADIA HIGH SCHOOL,Chandpur,Matlab Uttar,103911,1818271993,PRIVATE,Yes,NANDALALPUR,NANDALALPUR,,Yes,"View
     
     
         Edit"
 ,112,NAO BHANGA JOYPUR HIGH SHCOOL,Chandpur,Matlab Uttar,103913,1817546813,PRIVATE,Yes,BEDURIA BAZER,NAOBHANGA JOYPUR,,Yes,"View
     
     
         Edit"
 ,113,GAZIPUR K A L HIGH SCHOOL,Chandpur,Matlab Uttar,103914,1914133859,PRIVATE,Yes,DAKSHIN GAZIPUR,GAZIPUR,,Yes,"View
     
     
         Edit"
 ,114,DURGAPUR JANAKALAYAN HIGH SCHOOL,Chandpur,Matlab Uttar,103916,1704079520,PRIVATE,Yes,ANANDA BAZAR,DURGAPUR,,Yes,"View
     
     
         Edit"
 ,115,JHINAYA  HIGH SCHOOL,Chandpur,Matlab Uttar,103917,1818532925,PRIVATE,Yes,SENGERCHAR BAZAR,ZHINAIA,,Yes,"View
     
     
         Edit"
 ,116,BAGAN BARI IDEAL ACADEMY,Chandpur,Matlab Uttar,103918,1725791832,PRIVATE,Yes,BAGANBARI,2 NO.  BAGAN BARI UNION 1 NO. WORD,,Yes,"View
     
     
         Edit"
 ,117,HAZI MOIN UDDIN HIGH SCHOOL,Chandpur,Matlab Uttar,103919,1788434528,PRIVATE,Yes,BHEDURIA BAZAR,CHAR MACHUA,,Yes,"View
     
     
         Edit"
 ,118,CHAR PATHALIA NURUL HUDA HIGH SCHOOL,Chandpur,Matlab Uttar,103920,1309103920,PRIVATE,No,KHIDIRPUR,CHAR PATHALIA,,Yes,"View
     
     
         Edit"
 ,119,WALI PUR HIGH SCHOOL,Chandpur,Matlab Uttar,103921,1822725258,PRIVATE,Yes,WALIPUR,ALIPUR,,Yes,"View
     
     
         Edit"
 ,120,ALI AHAMMAD MIA HIGH SCHOOL,Chandpur,Matlab Uttar,103922,1840626942,PRIVATE,No,BORCHAR CHAR KASIM PUR,CHAR KASIM,,Yes,"View
     
     
         Edit"
 ,121,NEEL NAGAR HIGH SCHOOL,Chandpur,Matlab Uttar,103923,1818880518,PRIVATE,Yes,DASANI BAZAR,MILAR CHAR,,Yes,"View
     
     
         Edit"
 ,122,SIDDIKA BEGUM GIRLS HIGH SCHOOL,Chandpur,Matlab Uttar,103925,1812456027,PRIVATE,Yes,CHANGERCHAR BAZAR,CHANGERCHAR,,Yes,"View
     
     
         Edit"
 ,123,NISCHINTAPUR HIGH SCHOOL,Chandpur,Matlab Uttar,103944,1309103944,PRIVATE,Yes,NISCHINTAPUR,NISCHINTAPUR,,Yes,"View
     
     
         Edit"
 ,124,MOUTUPI  HIGH SCHOOL,Chandpur,Matlab Uttar,137613,1846222712,PRIVATE,No,BAGANBARI,MOUTIPI,,Yes,"View
     
     
         Edit"
 ,125,UPAKULIA ADORSHA HIGH SCHOOL,Chattogram,Anwara,104002,1814239594,PRIVATE,Yes,DOBHASHIRHAT,GAHIRA,,Yes,"View
     
     
         Edit"
 ,126,ANWARA GOVT. MODEL HIGH SCHOOL,Chattogram,Anwara,104003,1818646465,PUBLIC,Yes,ANWARA,ANWARA,,Yes,"View
     
     
         Edit"
 ,127,PARAI KORA NAYAN TARA HIGH SCHOOL,Chattogram,Anwara,104004,1835459416,PRIVATE,No,PAROIKORA,PARAI KORA,,Yes,"View
     
     
         Edit"
 ,128,BATTALI S.M.AULIA HIGH SCHOOL,Chattogram,Anwara,104005,1818887947,PRIVATE,Yes,BATTALI,BATTALI,,Yes,"View
     
     
         Edit"
 ,129,ANWARA GOVT. GIRLS HIGH SCHOOL,Chattogram,Anwara,104006,1819368902,PRIVATE,Yes,ANWARA,ANWARA,,Yes,"View
     
     
         Edit"
 ,130,NITYA NANDA HIGH SCHOOL GUZARA,Chattogram,Anwara,104007,1837771345,PRIVATE,Yes,TEKOTA,GUZARA,,Yes,"View
     
     
         Edit"
 ,131,KAINPURA HIGH SCHOOL,Chattogram,Anwara,104008,1830137140,PRIVATE,Yes,KAINPURA,KAINPURA,,Yes,"View
     
     
         Edit"
 ,132,TAILARDWIP BARAKHAIN ERSHED ALI HIGH SCHOOL,Chattogram,Anwara,104009,1718244444,PRIVATE,Yes,TAILAR DWIP,BARAKHAIN,,Yes,"View
     
     
         Edit"
 ,133,CHATARY UNION M/L HIGH SCHOOL,Chattogram,Anwara,104010,1825371001,PRIVATE,Yes,BAIRAG,"CHATARI,CHATARI SCHOOL ROAD.",,Yes,"View
     
     
         Edit"
 ,134,BASHIRUZZAMAN MEMORIAL INSTITUTE,Chattogram,Anwara,104011,1818913784,PRIVATE,Yes,HAILDHAR,HAILDHAR,,Yes,"View
     
     
         Edit"
 ,135,RAIPUR UNION  MULATILATERAL HIGH SCHOOL,Chattogram,Anwara,104012,1819882044,PRIVATE,Yes,CHUNNAPARA,RAIPUR,,Yes,"View
     
     
         Edit"
 ,136,BARUCHARA SHAHID BASHAR UZZMAN HIGH SCHOOL,Chattogram,Anwara,104013,1818461065,PRIVATE,Yes,BARUMCHARA,BURUMCHHARA,,Yes,"View
     
     
         Edit"
 ,137,SINGHARA RAMKANAI HIGH SCHOOL,Chattogram,Anwara,104014,1818954028,PRIVATE,Yes,ANWARA,SINGHARA,,Yes,"View
     
     
         Edit"
 ,138,EAST BOROIYA T.M.C. HIGH SCHOOL,Chattogram,Anwara,104015,1714515870,PRIVATE,Yes,PURBA BAROIYA,PURBA BARAIA,,Yes,"View
     
     
         Edit"
 ,139,JHE.BA.SHI HIGH SCHOOL,Chattogram,Anwara,104016,1817797825,PRIVATE,Yes,JHEORI,BARAKHAIN,,Yes,"View
     
     
         Edit"
 ,140,GUAPANCHAK HIGH SCHOOL,Chattogram,Anwara,104017,1818897149,PRIVATE,Yes,BAIRAGI,GUAPANCHAK,,Yes,"View
     
     
         Edit"
